Comunidades y Ciudades Autónomas;Edad;Sexo;Periodo;Total
Total Nacional;Total;Ambos sexos;2024;48.446,9
Total Nacional;Menores de 16;Ambos sexos;2024;6.881,2
Total Nacional;De 16 a 19 años;Ambos sexos;2024;2.120,7
Total Nacional;De 20 a 24 años;Ambos sexos;2024;2.624,8
Total Nacional;De 25 a 34 años;Ambos sexos;2024;5.473,6
Total Nacional;De 35 a 44 años;Ambos sexos;2024;6.616,0
Total Nacional;De 45 a 54 años;Ambos sexos;2024;7.956,6
Total Nacional;De 55 a 64 años;Ambos sexos;2024;6.902,2
Total Nacional;65 y más años;Ambos sexos;2024;9.871,9
01 Andalucía;Total;Ambos sexos;2024;8.590,0
01 Andalucía;Menores de 16;Ambos sexos;2024;1.293,7
01 Andalucía;De 16 a 19 años;Ambos sexos;2024;407,5
01 Andalucía;De 20 a 24 años;Ambos sexos;2024;475,6
01 Andalucía;De 25 a 34 años;Ambos sexos;2024;968,7
01 Andalucía;De 35 a 44 años;Ambos sexos;2024;1.196,4
01 Andalucía;De 45 a 54 años;Ambos sexos;2024;1.392,8
01 Andalucía;De 55 a 64 años;Ambos sexos;2024;1.241,1
01 Andalucía;65 y más años;Ambos sexos;2024;1.614,1
02 Aragón;Total;Ambos sexos;2024;1.335,1
02 Aragón;Menores de 16;Ambos sexos;2024;186,0
02 Aragón;De 16 a 19 años;Ambos sexos;2024;56,8
02 Aragón;De 20 a 24 años;Ambos sexos;2024;69,7
02 Aragón;De 25 a 34 años;Ambos sexos;2024;141,0
02 Aragón;De 35 a 44 años;Ambos sexos;2024;173,6
02 Aragón;De 45 a 54 años;Ambos sexos;2024;216,6
02 Aragón;De 55 a 64 años;Ambos sexos;2024;193,7
02 Aragón;65 y más años;Ambos sexos;2024;297,7
03 Asturias, Principado de;Total;Ambos sexos;2024;1.004,1
03 Asturias, Principado de;Menores de 16;Ambos sexos;2024;109,0
03 Asturias, Principado de;De 16 a 19 años;Ambos sexos;2024;34,1
03 Asturias, Principado de;De 20 a 24 años;Ambos sexos;2024;41,6
03 Asturias, Principado de;De 25 a 34 años;Ambos sexos;2024;83,7
03 Asturias, Principado de;De 35 a 44 años;Ambos sexos;2024;123,6
03 Asturias, Principado de;De 45 a 54 años;Ambos sexos;2024;170,0
03 Asturias, Principado de;De 55 a 64 años;Ambos sexos;2024;161,1
03 Asturias, Principado de;65 y más años;Ambos sexos;2024;281,0
04 Balears, Illes;Total;Ambos sexos;2024;1.228,6
04 Balears, Illes;Menores de 16;Ambos sexos;2024;181,1
04 Balears, Illes;De 16 a 19 años;Ambos sexos;2024;49,0
04 Balears, Illes;De 20 a 24 años;Ambos sexos;2024;69,7
04 Balears, Illes;De 25 a 34 años;Ambos sexos;2024;163,6
04 Balears, Illes;De 35 a 44 años;Ambos sexos;2024;191,2
